,img0035,img0036,img0037,img0038,img0039,img0040,mean,std
background/other,0.994,0.989,0.989,0.988,0.995,0.993,0.991,0.003
spleen,0.779,0.822,0.699,0.786,0.861,0.65,0.766,0.072
right kidney,0.69,0.768,0.766,0.496,0.675,0.752,0.691,0.094
left kidney,0.693,0.728,0.836,0.823,0.726,0.868,0.779,0.066
gallbladder,,0.316,0.623,0.1,0.616,0.283,0.388,0.203
esophagus,0.583,0.429,0.704,0.622,0.537,0.421,0.549,0.101
liver,0.87,0.868,0.863,0.774,0.91,0.873,0.86,0.041
stomach,0.693,0.667,0.353,0.711,0.738,0.728,0.648,0.134
aorta,0.74,0.726,0.828,0.583,0.75,0.527,0.692,0.104
inferior vena cava,0.664,0.749,0.728,0.608,0.569,0.626,0.657,0.064
portal vein and splenic vein,0.566,0.422,0.573,0.392,0.488,0.48,0.487,0.067
pancreas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right adrenal gland,0.402,0.468,0.576,0.422,0.455,0.525,0.475,0.06
left adrenal gland,0.441,0.412,0.203,0.37,0.561,0.528,0.419,0.117
